[06/Feb/2014:11:10:57 +0100]; 10.218.144.144; 127.0.0.1:8003; 0.001; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:57 +0100]; 10.218.144.144; 127.0.0.1:8002; 0.000; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:57 +0100]; 10.218.144.144; 127.0.0.1:8001; 0.000; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:58 +0100]; 127.0.0.1; 127.0.0.1:8005; 0.001; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:58 +0100]; 127.0.0.1; 127.0.0.1:8004; 0.001; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:59 +0100]; 127.0.0.1; 127.0.0.1:8003; 0.001; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:59 +0100]; 127.0.0.1; 127.0.0.1:8002; 0.000; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:59 +0100]; 127.0.0.1; 127.0.0.1:8001; 0.000; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:59 +0100]; 127.0.0.1; 127.0.0.1:8005; 0.001; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:11:03 +0100]; 10.218.144.144; -; -; -; -;gzipon
